name,state,congress,start_date,end_date
"Horsey, Outerbridge",DE,ELEVENTH Congress,1810-01-12,
"Dana, Samuel W.",CT,ELEVENTH Congress,1810-05-10,
"Cutts, Charles",NH,ELEVENTH Congress,1810-06-21,
"Bibb, George M.",KY,TWELFTH Congress,1811-03-04,
"Howell, Jeremiah B.",RI,TWELFTH Congress,1811-03-04,
"Varnum, Joseph B.",MA,TWELFTH Congress,1811-06-08,
"Campbell, George W.",TN,TWELFTH Congress,1811-10-08,
"Hunter, William",RI,TWELFTH Congress,1811-10-28,
"Magruder, Allan B.",LA,TWELFTH Congress,1811-10-28,
"Posey, Thomas",LA,TWELFTH Congress,1812-10-08,
"Brown, James",LA,TWELFTH Congress,1813-02-05,
"Bledsoe, Jesse",KY,THIRTEENTH Congress,1813-03-04,
"Chase, Dudley",VT,THIRTEENTH Congress,1813-03-04,
"Fromentin, Eligius",LA,THIRTEENTH Congress,1813-03-04,
"King, Rufus",NY,THIRTEENTH Congress,1813-03-04,
"Lacock, Abner",PA,THIRTEENTH Congress,1813-03-04,
"Morrow, Jeremiah",OH,THIRTEENTH Congress,1813-03-04,
"Stone, David",NC,THIRTEENTH Congress,1813-03-04,
"Bulloch, William B.",GA,THIRTEENTH Congress,1813-04-08,
"Gore, Christopher",MA,THIRTEENTH Congress,1813-05-05,
"Daggett, David",CT,THIRTEENTH Congress,1813-05-13,
"Goldsborough, Robert H.",MD,THIRTEENTH Congress,1813-05-21,
"Wells, William Hill",DE,THIRTEENTH Congress,1813-05-28,
"Mason, Jeremiah",NH,THIRTEENTH Congress,1813-06-10,
"Locke, Francis",NC,THIRTEENTH Congress,1813-06-10,
"Roberts, Jonathan",PA,THIRTEENTH Congress,1814-02-24,
"Wharton, Jesse",TN,THIRTEENTH Congress,1814-03-17,
"Thompson, Thomas W.",NH,THIRTEENTH Congress,1814-06-24,
"Walker, George",KY,THIRTEENTH Congress,1814-08-30,
"Barbour, James",VA,THIRTEENTH Congress,1815-01-02,
"Barry, William T.",KY,THIRTEENTH Congress,1815-02-02,
"Talbot, Isham",KY,THIRTEENTH Congress,1815-02-02,
"Ruggles, Benjamin",OH,FOURTEENTH Congress,1815-03-04,
"Sanford, Nathan",NY,FOURTEENTH Congress,1815-03-04,
"Tichenor, Isaac",VT,FOURTEENTH Congress,1815-03-04,
"Wilson, James J.",NJ,FOURTEENTH Congress,1815-03-04,
"Campbell, George W.",TN,FOURTEENTH Congress,1815-10-10,
"Williams, John",TN,FOURTEENTH Congress,1815-10-10,
"Macon, Nathaniel",NC,FOURTEENTH Congress,1815-12-05,
"Mason, Armistead T.",VA,FOURTEENTH Congress,1816-01-03,
"Harper, Robert G.",MD,FOURTEENTH Congress,1816-01-29,
"Ashmun, Eli P.",MA,FOURTEENTH Congress,1816-06-12,
"Hardin, Martin D.",KY,FOURTEENTH Congress,1816-06-12,
"Smith, William",SC,FOURTEENTH Congress,1816-12-04,
"Stokes, Montfort",NC,FOURTEENTH Congress,1816-12-04,
"Taylor, Waller",IN,FOURTEENTH Congress,1816-12-04,
"Burrill, James, Jr.",RI,FIFTEENTH Congress,1817-03-04,
"Claiborne, William C. C.",LA,FIFTEENTH Congress,1817-03-04,
"Crittenden, John J.",KY,FIFTEENTH Congress,1817-03-04,
"Dickerson, Mahlon",NJ,FIFTEENTH Congress,1817-03-04,
"Eppes, John W.",VA,FIFTEENTH Congress,1817-03-04,
"Morril, David L.",NH,FIFTEENTH Congress,1817-03-04,
"Otis, Harrison Gray",MA,FIFTEENTH Congress,1817-03-04,
"Van Dyke, Nicholas",DE,FIFTEENTH Congress,1817-03-04,
"Storer, Clement",NH,FIFTEENTH Congress,1817-06-27,
"Williams, Thomas",MS,FIFTEENTH Congress,1817-06-27,
"Johnson, Henry",LA,FIFTEENTH Congress,1818-01-12,
"Mellen, Prentiss",MA,FIFTEENTH Congress,1818-06-05,
"Palmer, William A.",VT,FIFTEENTH Congress,1818-10-20,
"Thomas, Jesse B.",IL,FIFTEENTH Congress,1818-12-03,
"Edwards, Ninian",IL,FIFTEENTH Congress,1818-12-03,
"Brown, James",LA,SIXTEENTH Congress,1819-03-04,
"Elliott, John",GA,SIXTEENTH Congress,1819-03-04,
"Lanman, James",CT,SIXTEENTH Congress,1819-03-04,
"Logan, William",KY,SIXTEENTH Congress,1819-03-04,
